price,area,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,furnishingstatus_semi_furnished,furnishingstatus_unfurnished,bathrooms_2,bathrooms_3,bathrooms_4,stories_2,stories_3,stories_4,parking_1,parking_2,parking_3,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5,bedrooms_6
13300000,7420,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
12250000,8960,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False
12250000,9960,True,False,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False
12215000,7500,True,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False
11410000,7420,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
10850000,7500,True,False,True,False,True,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
10150000,8580,True,False,False,False,True,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False
9870000,8100,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
9800000,5750,True,True,False,False,True,True,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False
9681000,6000,True,True,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
9310000,6550,True,False,False,False,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
9240000,3500,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
9240000,7800,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
9100000,6000,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
9100000,6600,True,True,True,False,True,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False
8960000,8500,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False
8890000,4600,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False
8855000,6420,True,False,False,False,True,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
